职位,公司名称,公司规模,要求学历,省份,所属市,所属区,月薪,最高月薪,最低月薪,工作经验
Python-AI开发工程师,北京量子伟业信息技术股份有限公司,150-500人,本科,江苏省,南京,鼓楼区,1-2万,20000,10000,3年及以上
Python开发工程师,东莞市晨特电子技术服务有限公司,少于50人,大专,广东省,东莞,长安镇,8千-1.6万,16000,8000,1年
Python爬虫工程师,深圳华强电子交易网络有限公司,500-1000人,本科,深圳,深圳,福田区,1.5-2.5万,25000,15000,3年及以上
Python开发工程师,云南云岭工程造价咨询有限公司,500-1000人,本科,云南省,昆明,盘龙区,7千-1万,10000,7000,2年及以上
python开发工程师,重庆维普资讯有限公司,150-500人,本科,重庆,重庆,渝北区,9千-1.4万,14000,9000,2年及以上
Python爬虫工程师,见鲸科技（南京）有限公司,50-150人,本科,江苏省,南京,秦淮区,1-1.7万·13薪,17000,10000,3-5年
Python开发工程师,东吴在线（上海）金融信息服务有限公司,50-150人,本科,江苏省,苏州,苏州工业园区,1.3-1.8万,18000,13000,5年及以上
python爬虫工程师,上海柯林布瑞信息技术有限公司,150-500人,本科,上海,上海,徐汇区,1.5-2.5万,25000,15000,5-7年
python开发工程师,深圳市晨特电子有限公司,,大专,深圳,深圳,宝安区,6千-1.2万,12000,6000,1-3年
Python-软件开发工程师,深圳市南电云商有限公司,500-1000人,本科,广东省,广州,黄埔区,1.5-2万,20000,15000,3年及以上
SF2503-Python中级开发工程师（短期）,中盈优创资讯科技有限公司,500-1000人,本科,江苏省,南京,建邺区,1-1.3万,13000,10000,3年及以上
python开发,京华信息科技股份有限公司,150-500人,本科,广东省,广州,天河区,1-2万,20000,10000,2-5年
python开发,山东昇润能源实业有限公司,,本科,上海,上海,长宁区,2.2-2.8万,28000,22000,3年及以上
python开发工程师,广州酷萌网络技术有限公司,少于50人,大专,深圳,深圳,宝安区,8千-1.5万,15000,8000,1年及以上
软件工程师Python,豆子机器人科技（珠海）有限公司,少于50人,本科,广东省,珠海,珠海高新区,1-1.2万,12000,10000,3-5年
Python开发,上海微创软件股份有限公司深圳分公司,500-1000人,大专,深圳,深圳,南山区,1-1.2万,12000,10000,2年及以上
Python开发,深圳市云腾创智技术有限公司,,本科,深圳,深圳,南山区,1.4-2万,20000,14000,3年及以上
Python,南京博锐星润软件科技有限公司,50-150人,大专,江苏省,南京,鼓楼区,9千-1.2万,12000,9000,3-6年
python开发,上海韦创立企业管理咨询有限公司,50-150人,,北京,北京,海淀区,1.4-1.8万,18000,14000,1年及以上
Python开发,英业达（重庆）有限公司,10000人以上,大专,重庆,重庆,沙坪坝区,5千-1万,10000,5000,2年及以上
爬虫工程师,中国科学院信息工程研究所,1000-5000人,本科,北京,北京,海淀区,1.2-2.3万,23000,12000,2年及以上
Python爬虫APP,广州铂锐盛途科技有限公司,少于50人,大专,广东省,广州,天河区,9千-1.8万,18000,9000,3-4年
Python算法和开发,上海韦创立企业管理咨询有限公司,50-150人,,湖北省,武汉,洪山区,1.4-1.8万,18000,14000,2年及以上
Python-大模型项目（线上面试+双休）,软通动力信息技术（集团）股份有限公司,10000人以上,本科,深圳,深圳,龙岗区,1.1-1.8万,18000,11000,2年及以上
爬虫数据采集工程师,天津克运集运集团股份有限公司,500-1000人,大专,天津,天津,和平区,9千-1.5万,15000,9000,2年及以上
爬虫工程师,上海兴康医药研究开发有限公司,少于50人,本科,上海,上海,浦东新区,1.2-1.8万,18000,12000,3年及以上
python开发,深圳市睿服科技有限公司,1000-5000人,本科,深圳,深圳,福田区,1.3-1.5万,15000,13000,3年及以上
python开发,深圳市紫川软件有限公司,500-1000人,本科,深圳,深圳,福田区,1.5-1.8万,18000,15000,3年及以上
python后端开发工程师,翼果（深圳）科技有限公司,,本科,深圳,深圳,南山区,1.5-3万,30000,15000,2年及以上
Python开发工程师-福州,中电福富信息科技有限公司,1000-5000人,本科,福建省,福州,鼓楼区,8千-1.5万,15000,8000,3年及以上
python算法工程师,广东启悦未来科技有限公司,5000-10000人,本科,深圳,深圳,龙岗区,1.2-1.7万,17000,12000,3年及以上
Python高级开发工程师,深圳铸泰科技有限公司,50-150人,本科,深圳,深圳,南山区,1.5-3万·13薪,30000,15000,3年及以上
Python全栈工程师,杭州研一智控科技有限公司,50-150人,本科,浙江省,杭州,钱塘区,1.7-2.5万·14薪,25000,17000,5年及以上
Python软件工程师（量子计算）-U1846P,中国科学技术大学上海研究院,少于50人,本科,上海,上海,浦东新区,1.3-2.5万,25000,13000,3-5年
python开发工程师(J10084),中山大洋电机股份有限公司,1000-5000人,本科,广东省,中山,西区,1-1.6万·13薪,16000,10000,4年
Python高级开发工程师,北京和牧兴邦网络技术有限公司,少于50人,大专,江苏省,苏州,姑苏区,1-1.5万,15000,10000,3-4年
Python开发工程师,大连隆基信息技术有限公司,150-500人,本科,辽宁省,大连,沙河口区,8千-1.2万·13薪,12000,8000,2年及以上
软件开发工程师（python）,仁卅信息科技（上海）有限公司,500-1000人,本科,北京,北京,海淀区,1-1.5万,15000,10000,2-3年
高级开发工程师（Python后端）,同炎数智科技（重庆）有限公司,150-500人,本科,重庆,重庆,渝北区,1.5-2.5万,25000,15000,3-4年
python后端工程师,深圳市瑞微智能有限责任公司,少于50人,本科,深圳,深圳,宝安区,1.6-2.2万,22000,16000,3年及以上
python数据开发工程师,重庆博尔特企业管理有限公司,少于50人,本科,重庆,重庆,北碚区,8千-1万,10000,8000,3-5年
python后台开发工程师,苏州同泰新能源科技股份有限公司,150-500人,本科,江苏省,苏州,吴江区,1.2-1.8万,18000,12000,2年及以上
Python量化交易工程师,广东时代互联科技有限公司,50-150人,本科,深圳,深圳,南山区,1-2万,20000,10000,3年及以上
Python研发工程师,陕西向野商业运营管理有限公司,少于50人,本科,陕西省,西安,莲湖区,8千-1.2万,12000,8000,3年及以上
python软件开发工程师,北京中安智能信息科技有限公司,50-150人,本科,江苏省,南京,江宁区,1.5-3万·14薪,30000,15000,3-5年
Python量化交易工程师,广东时代互联科技有限公司,50-150人,本科,广东省,珠海,香洲区,1-2万,20000,10000,3年及以上
Python开发工程师,广州市鼎源信息技术有限公司,少于50人,本科,广东省,广州,越秀区,8千-1万,10000,8000,2年
python开发,京华信息科技股份有限公司,150-500人,本科,广东省,广州,天河区,1-2万,20000,10000,2-5年
python开发,山东昇润能源实业有限公司,,本科,上海,上海,长宁区,2.2-2.8万,28000,22000,3年及以上
python运维开发工程师,浩鲸云计算科技股份有限公司,1000-5000人,本科,北京,北京,东城区,1.4-2.4万,24000,14000,5年及以上
软件工程师Python,豆子机器人科技（珠海）有限公司,少于50人,本科,广东省,珠海,珠海高新区,1-1.2万,12000,10000,3-5年
Python算法和开发,上海韦创立企业管理咨询有限公司,50-150人,,湖北省,武汉,洪山区,1.4-1.8万,18000,14000,2年及以上
python开发,深圳市睿服科技有限公司,1000-5000人,本科,深圳,深圳,福田区,1.3-1.5万,15000,13000,3年及以上
Python开发,深圳市云腾创智技术有限公司,,本科,深圳,深圳,南山区,1.4-2万,20000,14000,3年及以上
Python,京北方信息技术股份有限公司广州分公司,10000人以上,本科,广东省,广州,番禺区,1.3-1.8万,18000,13000,5年及以上
Python开发（远程面试）,上海博为峰信息技术有限公司,1000-5000人,本科,福建省,福州,鼓楼区,1.3-1.6万,16000,13000,3年及以上
Python-大模型项目（线上面试+双休）,软通动力信息技术（集团）股份有限公司,10000人以上,本科,深圳,深圳,龙岗区,1.1-1.8万,18000,11000,2年及以上
python后端开发,中劢传媒（深圳）有限公司,,本科,深圳,深圳,福田区,1-1.5万,15000,10000,3年及以上
爬虫工程师,上海兴康医药研究开发有限公司,少于50人,本科,上海,上海,浦东新区,1.2-1.8万,18000,12000,3年及以上
python开发,深圳市紫川软件有限公司,500-1000人,本科,深圳,深圳,福田区,1.5-1.8万,18000,15000,3年及以上
爬虫工程师,中国科学院信息工程研究所,1000-5000人,本科,北京,北京,海淀区,1.2-2.3万,23000,12000,2年及以上
Python,南京博锐星润软件科技有限公司,50-150人,大专,江苏省,南京,鼓楼区,9千-1.2万,12000,9000,3-6年
python后端开发,深圳市科雅智能数码有限公司,50-150人,本科,深圳,深圳,宝安区,1-1.5万,15000,10000,2-3年
python开发或python数据分析,中软国际科技服务有限公司,10000人以上,本科,深圳,深圳,龙岗区,1-1.6万·13薪,16000,10000,2年及以上
Python爬虫APP,广州铂锐盛途科技有限公司,少于50人,大专,广东省,广州,天河区,9千-1.8万,18000,9000,3-4年
Python开发,上海微创软件股份有限公司深圳分公司,500-1000人,大专,深圳,深圳,南山区,1-1.2万,12000,10000,2年及以上
爬虫数据采集工程师,天津克运集运集团股份有限公司,500-1000人,大专,天津,天津,和平区,9千-1.5万,15000,9000,2年及以上
爬虫工程师,上海泓益中创航空发展有限公司,少于50人,本科,上海,上海,浦东新区,2.5-3.5万·13薪,35000,25000,2年及以上
AI开发工程师（企业本地化部署）,广州资乐电气设备有限公司,150-500人,本科,广东省,广州,越秀区,1.5-2万,20000,15000,2年及以上
Python开发,英业达（重庆）有限公司,10000人以上,大专,重庆,重庆,沙坪坝区,5千-1万,10000,5000,2年及以上
爬虫开发工程师,广西亚盛信息技术有限公司,50-150人,大专,广西,南宁,青秀区,8千-1.2万,12000,8000,2年及以上
Python算法工程师,杭州辉电信息科技有限公司,50-150人,本科,浙江省,杭州,滨江区,1-1.5万·13薪,15000,10000,3年及以上
Python开发工程师,宁波伏特智能制造有限公司,500-1000人,本科,浙江省,宁波,鄞州区,1-1.8万·14薪,18000,10000,3年及以上
高级python爬虫工程师,深圳市博瑞捷科技有限公司,少于50人,大专,深圳,深圳,南山区,3-5万·14薪,50000,30000,3年及以上
Python数据工程师,深圳市瑞维控股有限公司,150-500人,本科,深圳,深圳,南山区,1.8-2.5万·13薪,25000,18000,3年及以上
python自然语言处理工程师,南京清智联软件有限公司,少于50人,本科,江苏省,南京,栖霞区,1.8-3.5万,35000,18000,3年及以上
高级python开发工程师,金蝶软件（中国）有限公司,5000-10000人,本科,深圳,深圳,南山区,2.5-4万·14薪,40000,25000,5年及以上
算法工程化（Python+LLM/NLP）工程师,上海昇迪凡科技术有限公司,1000-5000人,本科,上海,上海,浦东新区,2.5-3万,30000,25000,5年及以上
Python开发工程师,广州云纳信息科技有限公司,少于50人,大专,广东省,广州,番禺区,6-7千·13薪,7000,6000,2年
AI中心-后端开发工程师（python）(J10185),中国移动通信有限公司研究院,10000人以上,硕士,北京,北京,西城区,1.5-3万·13薪,30000,15000,3年
Python开发工程师,天津美凯鑫商贸有限公司,少于50人,硕士,天津,天津,和平区,7-8千·13薪,8000,7000,2-6年
高级python开发工程师,金地（集团）深圳地产公司,500-1000人,本科,深圳,深圳,福田区,2.5-3万,30000,25000,5年及以上
python开发工程师,芯发威达电子（上海）有限公司,1000-5000人,本科,上海,上海,闵行区,1.2-1.7万,17000,12000,5年及以上
Python开发工程师,宁波伏特智能制造有限公司,500-1000人,本科,浙江省,宁波,鄞州区,8千-1.3万·14薪,13000,8000,3年及以上
Python应用开发工程师,深圳易弧文化科技有限公司,少于50人,本科,深圳,深圳,宝安区,1-2万,20000,10000,3-6年
软件开发工程师（python）,赛业（苏州）生物科技有限公司,500-1000人,大专,江苏省,苏州,太仓市,9千-1.2万·13薪,12000,9000,2年及以上
Python高级开发工程师,深圳铸泰科技有限公司,50-150人,本科,深圳,深圳,南山区,1.5-3万·13薪,30000,15000,3年及以上
Python软件工程师,昆山华恒机器人有限公司,500-1000人,本科,江苏省,苏州,昆山市,7千-1万,10000,7000,1年及以上
高级Python开发工程师（AI方向）,布廷恩工程管理（北京）有限公司,150-500人,本科,上海,上海,嘉定区,1.2-2.2万·13薪,22000,12000,3年及以上
python后端工程师,深圳市瑞微智能有限责任公司,少于50人,本科,深圳,深圳,宝安区,1.6-2.2万,22000,16000,3年及以上
python大数据分析工程师,江苏领焰智能科技股份有限公司,50-150人,大专,上海,上海,闵行区,6千-1.2万,12000,6000,2年及以上
Python量化交易工程师,广东时代互联科技有限公司,50-150人,本科,深圳,深圳,南山区,1-2万,20000,10000,3年及以上
Python 开发工程师,北京垣械电子科技有限公司,500-1000人,大专,福建省,泉州,丰泽区,8千-1.3万,13000,8000,无需经验
Python全栈工程师,杭州研一智控科技有限公司,50-150人,本科,浙江省,杭州,钱塘区,1.7-2.5万·14薪,25000,17000,5年及以上
Python数据工程师,青岛清数科技有限公司,少于50人,本科,山东省,青岛,高新区,6千-1万,10000,6000,1年
Python软件开发工程师,河南端琪实业发展有限公司,150-500人,,河南省,郑州,管城回族区,6-8千·13薪,8000,6000,无需经验
Python 开发工程师,北京垣械电子科技有限公司,500-1000人,大专,陕西省,西安,雁塔区,8千-1.3万,13000,8000,无需经验
Python 软件工程师,南京艾影科技有限公司,少于50人,本科,江苏省,南京,江宁区,8千-1.2万·15薪,12000,8000,1年及以上
Python软件开发工程师,河南秋瑭实业发展有限公司,,,河南省,郑州,管城回族区,6-8千·13薪,8000,6000,无需经验
Python 开发工程师,北京垣械电子科技有限公司,500-1000人,大专,江苏省,苏州,姑苏区,8千-1.3万,13000,8000,无需经验
Python后端研发工程师,中国国际人才开发中心有限公司上海分公司,,本科,北京,北京,海淀区,2-3万,30000,20000,1年及以上
高级Python开发工程师,上海全晓信息技术有限公司,150-500人,本科,上海,上海,浦东新区,2.5-4万,40000,25000,5年及以上
Python软件工程师(J10748),深圳市英维克科技股份有限公司,1000-5000人,本科,深圳,深圳,龙华区,1.5-2.5万,25000,15000,3年及以上
