职位,公司名称,公司规模,要求学历,省份,所属市,所属区,月薪,最高月薪,最低月薪,工作经验
python开发,石家庄鸣迅信息技术有限公司,,大专,黑龙江省,哈尔滨,,1-1.2万·13薪,12000,10000,无需经验
Python开发,紫光云数科技有限公司,1000-5000人,本科,浙江省,杭州,滨江区,8千-1.5万,15000,8000,1年
Python开发（AI方向）,河南列阁影视传媒有限公司,,,河南省,郑州,管城回族区,6-8千·13薪,8000,6000,无需经验
初级Python脚本开发,浙江方顶数融科技有限公司,少于50人,本科,浙江省,杭州,上城区,5-8千,8000,5000,1年及以上
python开发工程师,杭州识度科技有限公司,50-150人,本科,浙江省,杭州,余杭区,8千-1万,10000,8000,1年及以上
python助理工程师,河北学泰教育科技有限公司,50-150人,大专,河南省,郑州,,5-8千,8000,5000,无需经验
python开发工程师,无锡锂云科技有限公司,少于50人,本科,江苏省,无锡,惠山区,6千-1万,10000,6000,1年及以上
数据资深工程师,宁波震裕科技股份有限公司,10000人以上,大专,江苏省,苏州,高新区,1.2-1.8万·14薪,18000,12000,5年
Python开发工程师,中清控(武汉)科技有限公司,50-150人,硕士,湖北省,武汉,东西湖区,1-2万,20000,10000,3-4年
python运维开发工程师,中才邦业（杭州）智能技术有限公司,150-500人,本科,浙江省,杭州,滨江区,1.3-1.8万·14薪,18000,13000,3年及以上
Python开发工程师,上海博为峰信息技术有限公司,1000-5000人,大专,上海,上海,浦东新区,1.7-1.9万,19000,17000,5-10年
python开发工程师,中软国际科技服务有限公司,10000人以上,本科,上海,上海,浦东新区,1.5-2.5万·13薪,25000,15000,3-5年
Python开发工程师,郑州辰而将行软件科技有限公司,50-150人,大专,湖南省,长沙,,1.2-2万,20000,12000,3年及以上
python开发工程师,深圳市紫川软件有限公司,500-1000人,本科,深圳,深圳,福田区,1-1.8万,18000,10000,3年及以上
python开发工程师,沈阳灵艳网络科技有限公司,少于50人,,广东省,广州,,1.3-1.8万·13薪,18000,13000,无需经验
Python 开发工程师,江西丰功信息技术有限公司,150-500人,本科,江西省,南昌,,5-9千,9000,5000,5年及以上
Python软件开发工程师,深圳市新凯来技术有限公司,150-500人,本科,深圳,深圳,龙岗区,2-4万·15薪,40000,20000,3年及以上
Python软件工程师,上海六坊信息科技有限公司,少于50人,本科,上海,上海,徐汇区,1.5-2.5万,25000,15000,3年及以上
python开发工程师,沈阳灵艳网络科技有限公司,少于50人,,北京,北京,,1.3-1.8万·13薪,18000,13000,无需经验
Python开发工程师,紫光云数科技有限公司,1000-5000人,本科,浙江省,杭州,滨江区,8千-1.4万,14000,8000,1年
python开发工程师（急招+双休）,湖南拓维云创科技有限责任公司,1000-5000人,本科,上海,上海,,1.3-1.7万,17000,13000,2年及以上
高级Python开发工程师,中才邦业（杭州）智能技术有限公司,150-500人,本科,浙江省,杭州,滨江区,1.5-1.8万·14薪,18000,15000,3年及以上
Python开发工程师,奇宏光电（武汉）有限公司,1000-5000人,本科,湖北省,武汉,东湖新技术产业开发区,1.5-1.8万,18000,15000,3年及以上
python开发工程师,河南甫得影视传媒有限公司,50-150人,,河南省,郑州,金水区,6-8千·13薪,8000,6000,无需经验
Python开发工程师(J14209),北京先进数通信息技术股份公司,1000-5000人,本科,福建省,福州,鼓楼区,7千-1.2万,12000,7000,3年及以上
python后端工程师,深圳市瑞微智能有限责任公司,少于50人,本科,深圳,深圳,宝安区,1.6-2.2万,22000,16000,3年及以上
python助理工程师,河北学泰教育科技有限公司,50-150人,大专,河南省,郑州,,5-8千,8000,5000,无需经验
数据治理工程师,肇庆顺启程信息科技有限公司,,本科,广东省,佛山,南海区,1.5-1.8万,18000,15000,3年及以上
AI技术工程师（急聘+双休）,北闵莱（南昌）软件开发有限公司,少于50人,,陕西省,西安,莲湖区,9千-1.6万,16000,9000,无需经验
python工程师,小木瓜人工智能科技（武汉）有限公司,少于50人,本科,湖北省,武汉,洪山区,5千-1万,10000,5000,3年及以上
数据挖掘工程师,奥凸科技有限公司,50-150人,本科,上海,上海,闵行区,1.5-1.8万·13薪,18000,15000,3年及以上
高级python开发工程师,雷克软件系统（深圳）有限公司,50-150人,本科,广东省,广州,天河区,1.6-2万,20000,16000,10年及以上
数据开发工程师,上海华腾软件系统有限公司,500-1000人,本科,深圳,深圳,罗湖区,1.1-1.4万·13薪,14000,11000,3年及以上
大模型应用开发工程师,深圳市纽尔科技有限公司,150-500人,本科,深圳,深圳,罗湖区,1.3-2.5万,25000,13000,2年及以上
初级算法工程师,西安智周深鉴信息科技集团有限公司,50-150人,本科,上海,上海,闵行区,1.1-2.2万·13薪,22000,11000,无需经验
算法工程师,小迭科技（北京）有限公司,少于50人,本科,北京,北京,,1.5-3万,30000,15000,无需经验
Python工程师,南京小草半导体有限公司,少于50人,本科,江苏省,南京,江宁区,6-8千,8000,6000,2年及以上
Python工程师,青岛启环国际贸易有限公司,50-150人,大专,山东省,青岛,黄岛区,6-8千,8000,6000,3年及以上
初级算法工程师,西安智周深鉴信息科技集团有限公司,50-150人,本科,浙江省,嘉兴,南湖区,1.1-2.2万·13薪,22000,11000,无需经验
AI算法工程师,深圳市裕同包装科技股份有限公司,10000人以上,本科,河南省,许昌,,1-2万,20000,10000,3年及以上
go开发工程师（初级/中级）,北京锐玑精械智能电子科技有限公司,50-150人,大专,江苏省,苏州,虎丘区,7千-1.3万·14薪,13000,7000,无需经验
python工程师（爬虫）,宁波渠成集团有限公司,500-1000人,本科,浙江省,宁波,,12-20万/年,,,2年及以上
大模型算法工程师,深圳市纽尔科技有限公司,150-500人,本科,深圳,深圳,罗湖区,1.3-2.5万,25000,13000,2年及以上
软件开发工程师,南京鸿越财务顾问有限公司,少于50人,本科,湖北省,武汉,,1-1.5万,15000,10000,1年
go开发工程师（初级/中级）,北京锐玑精械智能电子科技有限公司,50-150人,大专,浙江省,杭州,上城区,7千-1.3万·14薪,13000,7000,无需经验
Python软件工程师,深圳凌测科技有限公司,少于50人,本科,湖南省,长沙,开福区,1-1.2万,12000,10000,1年及以上
